Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
Todd Phillips,385604,14977960,14592356
George Miller,517390,10999780,10482390
Bong Joon Ho,103820,9658130,9554310
Ryan Coogler,860230,8399530,7539300
James Gunn,891050,7620160,6729110
Scott Derrickson,1403830,8078890,6675060
Rian Johnson,1101850,7768800,6666950
Denis Villeneuve,35670,6692480,6656810
Alejandro G. Iñárritu,2534310,8770550,6236240
Joss Whedon,3061250,9245090,6183840
Bryan Singer,9830,5953440,5943610
Gareth Edwards,978150,6888020,5909870
Baz Luhrmann,294670,5989210,5694540
Mel Gibson,310590,5975290,5664700
Jon Watts,263770,5597440,5333670
Christopher Nolan,1020950,5955340,4934390
James Mangold,59330,4791650,4732320
Morten Tyldum,39818,4496630,4456812
Taika Waititi,263090,4431290,4168200
Guillermo del Toro,332120,4485910,4153790
Susanne Bier,2128,3878250,3876122
Edgar Wright,2389288,6146410,3757122
Peyton Reed,1062170,4514580,3452410
Christopher McQuarrie,352950,3793610,3440660
Noah Baumbach,152290,3474720,3322430
Noam Murro,235000,3164820,2929820
Alan Taylor,26100,2931220,2905120
Kenneth Lonergan,314690,3151040,2836350
Matt Reeves,116160,2933840,2817680
Taylor Sheridan,66210,2815440,2749230
M. Night Shyamalan,10510,2756850,2746340
John Krasinski,36680,2747010,2710330
Jake Kasdan,153550,2849940,2696390
Jordan Vogt-Roberts,845040,3500870,2655830
Ted Demme,105881,2756880,2650999
Cathy Yan,18220,2655670,2637450
Daniel Espinosa,5532,2548340,2542808
James Gray,91700,2612150,2520450
Justin Lin,104790,2590170,2485380
Jon Favreau,193990,2678500,2484510
Mark Herman,28810,2478030,2449220
Patrick Hughes,90960,2478890,2387930
Yorgos Lanthimos,26000,2349240,2323240
Matt Ross,36310,2357510,2321200
Mike Flanagan,791,2193680,2192889
Steven Spielberg,2738140,4886490,2148350
Damián Szifron,38370,2171790,2133420
James Cameron,11777020,13899530,2122510
Roar Uthaug,196760,2277020,2080260
Jon Turteltaub,7660,2083200,2075540
Zack Snyder,2732270,4795250,2062980
Theodore Melfi,544225,2563500,2019275
Damien Chazelle,19220,2027870,2008650
Lee Toland Krieger,56970,2043320,1986350
Thomas Vinterberg,12009,1962380,1950371
Kinji Fukasaku,3233,1949060,1945827
Tom Ford,1179390,3056100,1876710
Jonathan Liebesman,334580,2206770,1872190
J.A. Bayona,1638520,3453930,1815410
Dexter Fletcher,146470,1956280,1809810
Chloé Zhao,38660,1842080,1803420
Stephen Norrington,48680,1842830,1794150
Terry George,29970,1786870,1756900
David Twohy,31240,1783810,1752570
Park Chan-wook,4498,1738880,1734382
Adam Brooks,31920,1735660,1703740
Brad Peyton,162550,1860530,1697980
Matthew Vaughn,1960740,3642750,1682010
Alfonso Cuarón,40490,1701550,1661060
Trey Parker,131080,1788740,1657660
Seth Gordon,376110,2027480,1651370
Alex Kurtzman,442080,2068020,1625940
David Gordon Green,86790,1695510,1608720
Gina Prince-Bythewood,244060,1844160,1600100
Stefano Sollima,81750,1678720,1596970
Doug Liman,5810,1557412,1551602
Niki Caro,45722,1594480,1548758
Michael Davis,4160,1552050,1547890
Kevin Lima,629960,2177740,1547780
Corin Hardy,185780,1712460,1526680
Antonio Campos,25725,1533720,1507995
Tony Scott,586340,2081580,1495240
Nick Cassavetes,23510,1503810,1480300
Craig Gillespie,964925,2435510,1470585
Michael Matthews,9860,1459990,1450130
Bruce A. Evans,115540,1565300,1449760
Sam Raimi,700420,2145110,1444690
Tony Gilroy,1743340,3160990,1417650
Nikolaj Arcel,46270,1460690,1414420
David O. Russell,67720,1459660,1391940
Steven Caple Jr.,172874,1560620,1387746
Leigh Whannell,1189960,2568080,1378120
Kyle Newacheck,333460,1695950,1362490
Ric Roman Waugh,10250,1355970,1345720
Sylvester Stallone,2318890,3654220,1335330
Brett Ratner,313980,1646490,1332510
Wes Craven,397770,1716530,1318760
Tommy Wirkola,41920,1349940,1308020
Patty Jenkins,1623380,2925050,1301670
Sean Baker,2214,1291620,1289406
Nora Ephron,14010,1291100,1277090
Lisa Cholodenko,111250,1345580,1234330
Alan Parker,30840,1262970,1232130
Martin Campbell,11740,1236100,1224360
Shawn Levy,2400,1220475,1218075
Alexander Payne,38524,1251890,1213366
John Hamburg,35700,1240290,1204590
Allen Coulter,360170,1560560,1200390
Nancy Meyers,1554730,2754900,1200170
J Blakeson,276300,1467000,1190700
Greg Berlanti,82100,1262680,1180580
Ang Lee,48390,1225230,1176840
Craig Zobel,120001,1295940,1175939
Sudha Kongara,75590,1241620,1166030
Lynne Ramsay,118410,1280610,1162200
Lee Daniels,69540,1198830,1129290
Jean-Marc Vallée,5039,1127630,1122591
Andy Muschietti,1913900,3034310,1120410
S.S. Rajamouli,30048,1146940,1116892
Susan Johnson,138100,1244580,1106480
Rob Letterman,737950,1832340,1094390
Wes Anderson,836980,1914660,1077680
Anand Tucker,33844,1108770,1074926
Gary Winick,3568,1074340,1070772
Gary Ross,1366190,2429290,1063100
Mike Nichols,194430,1250940,1056510
James DeMonaco,53520,1103870,1050350
Sidney Lumet,70320,1120020,1049700
Brad Bird,2285300,3326990,1041690
Michael Dougherty,1047610,2087430,1039820
J.J. Abrams,3916320,4953710,1037390
Pitof,231520,1260100,1028580
Sydney Pollack,85380,1110980,1025600
Adam Robitel,405310,1425810,1020500
Danny Boyle,664850,1683410,1018560
David Frankel,35250,1051580,1016330
Gary Fleder,298470,1307890,1009420
Jon M. Chu,911570,1908490,996920
Todd Haynes,50530,1043130,992600
James Ponsoldt,15100,1005790,990690
Felix van Groeningen,24480,1007050,982570
Lee Isaac Chung,5354,977940,972586
Joshua Michael Stern,69830,1039960,970130
Céline Sciamma,135110,1102440,967330
John Carney,48370,1013000,964630
Peter Weir,258930,1222090,963160
David Yarovesky,127937,1082270,954333
Mahesh Bhatt,18284,967170,948886
Dan Mazer,394080,1336470,942390
Martin McDonagh,4625920,5568000,942080
Sriram Raghavan,89526,1031260,941734
Christian Ditter,11570,946520,934950
David Michôd,606370,1538180,931810
David Dobkin,97248,1029040,931792
Paul Greengrass,27360,958700,931340
Mark Dindal,85290,1011250,925960
Nadine Labaki,146380,1061320,914940
Aaron Schneider,240600,1154640,914040
Paul Thomas Anderson,550250,1460150,909900
Rob Bowman,76590,981120,904530
Brad Anderson,31158,931200,900042
Bruce Robinson,185620,1081190,895570
Jodie Foster,161150,1055250,894100
Adam Wingard,12682,906770,894088
Paul King,51160,944880,893720
Jonathan Glazer,696770,1587650,890880
Roland Emmerich,57460,948030,890570
Alper Caglar,213993,1104300,890307
William Eubank,89750,979670,889920
Jonathan Levine,348130,1221240,873110
John Wells,483880,1332770,848890
Paul Feig,65326,906610,841284
Jeff Orlowski-Yang,85508,896800,811292
Doug Ellin,19198,829980,810782
John Erick Dowdle,125093,935280,810187
Michael Cuesta,104780,914260,809480
John Madden,20172,828130,807958
Hany Abu-Assad,4051,810500,806449
Sergei Bodrov,718,805930,805212
Dave Green,198130,1000870,802740
Denzel Washington,385190,1184410,799220
Rick Famuyiwa,102450,894180,791730
Howard McCain,2660,788130,785470
Bennett Miller,715960,1495340,779380
John Lee Hancock,261404,1040620,779216
Rowan Joffe,67780,843540,775760
Julius Avery,296240,1068470,772230
Clint Eastwood,213295,981730,768435
John Whitesell,24900,791900,767000
Ruben Östlund,11830,776160,764330
Don Scardino,2566,759590,757024
Lee Chang-dong,21180,767690,746510
Todd Field,424940,1169850,744910
Lasse Hallström,51610,792790,741180
Sebastián Cordero,17116,757100,739984
Susanna Fogel,92460,832280,739820
Predrag Antonijevic,82021,818680,736659
Ol Parker,361180,1095570,734390
Craig Mazin,25280,759280,734000
Panos Cosmatos,169660,902260,732600
Lorcan Finnegan,12980,745230,732250
David Dhawan,13651,742510,728859
Christine Jeffs,16360,742220,725860
D.J. Caruso,256572,974290,717718
Donovan Marsh,25799,739420,713621
Brian Percival,716205,1425420,709215
David Mackenzie,104385,812760,708375
Alexandre Aja,239194,943810,704616
Haruo Sotozaki,31560,734660,703100
James Foley,42150,744890,702740
Shekhar Kapur,53330,752170,698840
Christopher Landon,30850,728600,697750
Lars von Trier,232440,925990,693550
Jacques Audiard,13350,706730,693380
Gerard McMurray,30610,712940,682330
Scott Frank,606090,1275040,668950
Joe Carnahan,137660,795980,658320
Adam Randall,14060,671680,657620
Marc Forster,195004,850800,655796
Paul W.S. Anderson,30680,683330,652650
Martin Weisz,36090,677890,641800
Prashanth Neel,346349,987920,641571
Danny Cannon,22242,660860,638618
Darren Aronofsky,1867070,2505020,637950
Lulu Wang,88114,713920,625806
Jim Sheridan,67950,693450,625500
Steve Bendelack,59380,684030,624650
Hans Petter Moland,10600,632850,622250
Levan Gabriadze,34010,653878,619868
Colm McCarthy,27940,646130,618190
Michael Engler,19110,635980,616870
Dominic Cooke,125370,740360,614990
Stephen Gaghan,101850,715680,613830
Greg Mottola,72040,685240,613200
Pawel Pawlikowski,13560,620480,606920
Michael Hoffman,177020,776200,599180
Nicolas Winding Refn,446800,1041760,594960
Jocelyn Moorhouse,71390,658050,586660
Jonas Åkerlund,408210,993520,585310
Audrey Wells,27450,599530,572080
Brian Helgeland,1460500,2031590,571090
Mennan Yapo,252886,818360,565474
Gabe Ibáñez,34040,594510,560470
Kornél Mundruczó,5433,564270,558837
John Fortenberry,87900,644350,556450
Paul Weiland,208000,761930,553930
Jim Mickle,64150,614180,550030
Baltasar Kormákur,69722,619380,549658
Mehmet Ada Öztekin,12922,558480,545558
Peter Chelsom,19320,563000,543680
Gavin Hood,7090,547940,540850
James Wan,4682110,5222200,540090
Tom Hooper,25190,560530,535340
John Luessenhop,27380,561700,534320
Joe Berlinger,400850,934951,534101
Cary Joji Fukunaga,340850,870430,529580
Keenen Ivory Wayans,78090,600410,522320
Stuart Beattie,320420,840110,519690
Gavin O'Connor,11819,531430,519611
Betty Thomas,29420,547630,518210
David S. Goyer,15810,533920,518110
James L. Brooks,28750,546840,518090
Yash Chopra,76504,592530,516026
Jason Howden,193100,702320,509220
Travis Knight,1387130,1894300,507170
Gregory Jacobs,108580,614770,506190
Justin Zackham,14300,520000,505700
David F. Sandberg,1427630,1932110,504480
Paul Schrader,64010,565557,501547
Maren Ade,21174,521890,500716
Gareth Evans,92502,593110,500608
Barry Jenkins,26280,526190,499910
Peter Atencio,22000,521080,499080
Gene Quintano,14010,512710,498700
Niels Arden Oplev,14826,510850,496024
Chris Gorak,144030,639630,495600
Gore Verbinski,606220,1099680,493460
Rahul Dholakia,17181,507920,490739
Peter Berg,490690,980980,490290
Jeff Chan,38110,528220,490110
Adrienne Shelly,4437,489040,484603
Stephen Sommers,92720,576010,483290
Richard Shepard,14260,496030,481770
Debra Granik,172761,654520,481759
Destin Daniel Cretton,286983,760130,473147
Sean Anders,735658,1206800,471142
David Robert Mitchell,46880,517970,471090
Tony Leondis,243680,713510,469830
Scott Z. Burns,41840,511590,469750
Tom Tykwer,10470,475500,465030
Ava DuVernay,14346,478890,464544
Pedro Almodóvar,174980,633270,458290
Mike Newell,71590,529270,457680
Corey Yuen,6400,463730,457330
Ridley Scott,1740330,2195040,454710
Darius Marder,1058222,1511000,452778
Terry Jones,34500,486370,451870
Kimberly Peirce,1034650,1484540,449890
Chris Kentis,116770,565530,448760
Kyle Patrick Alvarez,13566,462260,448694
Faruk Aksoy,26373,474764,448391
Martin Koolhoven,6210,453390,447180
Ben Young,135030,578640,443610
Rupert Wyatt,139440,582240,442800
Mark Williams,136510,579180,442670
Jeff Nichols,112690,555130,442440
Dean Parisot,89450,531840,442390
Dome Karukoski,30640,468200,437560
Howard Deutch,35880,464730,428850
Akan Satayev,4966,431740,426774
Ben Wheatley,41610,467400,425790
Björn Runge,5217,429760,424543
Nick Hurran,4365,428900,424535
Jake Schreier,658300,1081780,423480
Krzysztof Kieslowski,531230,950730,419500
Kristian Levring,20080,432990,412910
Jonathan Kasdan,326910,737270,410360
Andy Serkis,247600,657780,410180
Clea DuVall,65490,475170,409680
F. Javier Gutiérrez,23820,433080,409260
Chris Nelson,25460,432530,407070
Damien Leone,124840,531900,407060
David Kellogg,104660,509840,405180
John Frankenheimer,19830,424430,404600
Anurag Basu,33982,435000,401018
Richard Stanley,164780,565790,401010
Claire Denis,12130,412370,400240
Dominic Sena,584150,984180,400030
Anders Thomas Jensen,242770,639800,397030
Akiva Schaffer,937110,1331630,394520
Antoni Krauze,8644,401810,393166
Cameron Crowe,327620,712010,384390
Kathryn Bigelow,178380,560650,382270
Rod Lurie,28420,408290,379870
Michael Lehmann,26280,402010,375730
Kevin Rodney Sullivan,83560,458490,374930
Neil Jordan,7880,382370,374490
Danny DeVito,248440,622480,374040
Ross Katz,87920,460540,372620
Vince Marcello,8211,380370,372159
Tony Goldwyn,92310,461200,368890
Wilson Yip,801,368790,367989
Max Barbakow,1470182,1837680,367498
Chris Smith,156118,521990,365872
Luis Prieto,28192,391650,363458
Yeon Sang-ho,18200,380390,362190
Beeban Kidron,8014,369936,361922
Dean DeBlois,1153568,1513200,359632
Alan Metter,5390,362780,357390
Derrick Borte,418410,771170,352760
Ed Harris,296780,648450,351670
Wayne Roberts,23690,375200,351510
Asghar Farhadi,30654,381780,351126
Pascal Laugier,49480,399260,349780
Tony Bill,96810,445980,349170
Craig Brewer,303806,650930,347124
Michael Rymer,15550,362478,346928
Chris McKay,1385730,1732110,346380
Mel Brooks,113550,453100,339550
Mike Cahill,1001810,1339200,337390
Ciarán Foy,73410,410030,336620
Scott Sanders,27380,363688,336308
David Lowery,160767,497050,336283
Leos Carax,155030,490270,335240
Vivek Agnihotri,25330,360120,334790
Andrew Jarecki,272280,605540,333260
Aniruddha Roy Chowdhury,152702,483990,331288
Andrea Arnold,136690,466250,329560
Jim Fall,92760,421990,329230
Liam Lynch,825167,1154390,329223
Bill Condon,143770,472930,329160
Malcolm D. Lee,118810,445690,326880
Antonia Bird,110610,433540,322930
George Tillman Jr.,81363,402950,321587
Tim Story,268950,589290,320340
Kazuaki Kiriya,138020,457320,319300
George C. Wolfe,264060,580630,316570
Jonathan Lynn,90010,406230,316220
Kirk Wong,1335,315950,314615
Jasmila Zbanic,68930,383280,314350
Maneesh Sharma,181780,495990,314210
Guillem Morales,61490,374840,313350
Lokesh Kanagaraj,114195,426810,312615
Charles Ferguson,86370,397000,310630
Mike Barker,25975,336450,310475
Daniel Barnz,80820,389190,308370
Tom Harper,67496,375370,307874
Brandon Cronenberg,154600,461210,306610
Steve McQueen,736710,1043150,306440
Michael Apted,83340,388380,305040
Robert Connolly,29960,334870,304910
Ali Abbasi,40950,344470,303520
Johannes Roberts,6200,308920,302720
Thomas Bezucha,49130,350770,301640
Alice Wu,134880,435280,300400
Don Coscarelli,106600,404250,297650
Jeff Wadlow,285710,583340,297630
Ildikó Enyedi,2630,299660,297030
Dean Israelite,843730,1140730,297000
David Leitch,2072190,2369160,296970
Zal Batmanglij,229800,524410,294610
Gideon Raff,33250,326770,293520
Paul Haggis,3320,293610,290290
Robin Pront,56490,345710,289220
Bryan Fogel,17690,305160,287470
Tod Williams,20200,307490,287290
Sujoy Ghosh,23291,310110,286819
Baran bo Odar,57725,343890,286165
Hun Jang,30060,315730,285670
Oliver Stone,1348710,1634030,285320
Tyler Spindel,126760,411366,284606
Kirsten Sheridan,52340,336896,284556
Eliza Hittman,29150,312300,283150
Vetrimaaran,53090,335760,282670
Jeremy Saulnier,123140,404810,281670
Steven Brill,307630,589050,281420
Robert B. Weide,428080,709380,281300
Martin Zandvliet,15070,295340,280270
Dan Reed,32288,311640,279352
John Hyams,13138,290100,276962
Mike Mills,220150,495580,275430
Éric Lartigau,25254,298830,273576
Fisher Stevens,16060,289130,273070
Nelson McCormick,115635,387770,272135
Chris Peckover,194272,463870,269598
Marc Rocco,39250,307530,268280
Spike Lee,137000,402534,265534
Gilles Paquet-Brenner,10920,276350,265430
Bob Clark,52160,317060,264900
Sanjay Leela Bhansali,107374,370730,263356
Michael Tollin,133677,396943,263266
Gregg Araki,37250,300290,263040
Nash Edgerton,63900,322550,258650
Alan J. Pakula,459650,718100,258450
Gurinder Chadha,15770,273680,257910
Kitty Green,5420,263160,257740
Anubhav Sinha,11068,268070,257002
Ari Aster,3808570,4063960,255390
Burr Steers,353430,606220,252790
Jaco Van Dormael,63560,315712,252152
Siddharth Anand,81800,332650,250850
Tatsuya Nagamine,68315,317900,249585
Harald Zwart,43930,293110,249180
Sanjay Gupta,20505,268771,248266
Marcos Siega,88846,335670,246824
Liz Garbus,4597,250700,246103
Tom Ropelewski,36570,279018,242448
Brett Haley,77992,319462,241470
Riley Stearns,168796,410140,241344
Janus Metz,103490,344620,241130
Afonso Poyart,118309,355925,237616
Guy Ferland,60220,295590,235370
R. Balki,56010,291260,235250
Toa Fraser,12544,247580,235036
Jean-Stéphane Sauvaire,28414,262710,234296
Rod Daniel,64220,297790,233570
Mabrouk El Mechri,162422,394860,232438
John Huddles,4550,236020,231470
Jang Hang-jun,233600,465020,231420
Neil Burger,407331,638250,230919
Gerard Barrett,13456,242990,229534
Michael Showalter,49480,278320,228840
Declan Lowney,101786,330110,228324
Demián Rugna,1796,228580,226784
Baz Poonpiriya,7790,234090,226300
F. Gary Gray,1250220,1475970,225750
Saket Chaudhary,95996,320950,224954
Jon S. Baird,175082,398960,223878
Stuart Baird,617280,840790,223510
Brian Kirk,524590,747880,223290
Fernando Coimbra,51920,274760,222840
Aanand L. Rai,84203,304530,220327
Andrés Baiz,152121,372184,220063
Kamil Cetin,15566,235338,219772
Ben Stiller,537860,757560,219700
Rakesh Roshan,34435,253330,218895
Todd Douglas Miller,55239,272810,217571
Alan Rickman,37530,254560,217030
Jay Russell,213850,430580,216730
Roseanne Liang,94072,309700,215628
Mark Romanek,1320180,1535700,215520
Gérard Krawczyk,63915,278934,215019
Sukumar,63617,278440,214823
Florian Gallenberger,17089,231530,214441
Assaf Bernstein,10040,224330,214290
Ken Loach,46320,259490,213170
Brian Robbins,237658,450140,212482
Sam Miller,9850,220700,210850
Joachim Trier,156900,367320,210420
Patricia Riggen,74750,285150,210400
Desiree Akhavan,47380,257050,209670
Trey Edward Shults,100900,310450,209550
Fernando León de Aranoa,17429,224640,207211
Jesse Peretz,42110,247790,205680
Karyn Kusama,113960,318600,204640
Álex de la Iglesia,57960,262574,204614
Olivier Dahan,8640,212240,203600
Andrew Levitas,28470,231000,202530
Stephan Rick,14925,217230,202305
Kabir Khan,16032,218010,201978
Jim Jarmusch,662220,864160,201940
Jane Campion,87210,288070,200860
Paul Currie,56540,257250,200710
Anurag Singh,22842,223480,200638
Alma Har'el,209729,409600,199871
Whit Stillman,66670,264730,198060
Juan Carlos Medina,35770,233790,198020
Ramin Bahrani,29792,227720,197928
Peter Kosminsky,143650,341460,197810
Kelly Reichardt,23780,220690,196910
Glenn Gordon Caron,18210,215050,196840
Cate Shortland,81970,277130,195160
Jennifer Fox,2610,197730,195120
Robert Altman,42120,236520,194400
Luc Besson,766040,959410,193370
Kivanç Baruönü,63549,255584,192035
Kasi Lemmons,116510,308350,191840
Hugh Wilson,192800,384097,191297
Anna Biller,9456,200240,190784
Robert Schwentke,26424,217090,190666
Bharat Nalluri,2954,193130,190176
Joan Chen,36820,226828,190008
S. Shankar,81899,271510,189611
Alice Rohrwacher,19270,208370,189100
Julien Magnat,12630,201500,188870
Vicky Jewson,84036,272610,188574
Andrea Di Stefano,234120,422270,188150
Matt Brown,436765,623560,186795
Ti West,22380,208930,186550
Sara Sugarman,5766,191590,185824
Eugenio Mira,11178,196540,185362
Abe Forsythe,8528,193640,185112
Luca Guadagnino,4538,187936,183398
Jeffrey Blitz,128394,310630,182236
Julian Schnabel,221440,401700,180260
Abderrahmane Sissako,3346,183130,179784
Monika Mitchell,24356,204020,179664
David Koepp,80930,260280,179350
John Carpenter,270360,449540,179180
Kyle Rankin,97350,275590,178240
Jonas Pate,14540,192610,178070
Ayan Mukerji,340640,517780,177140
Bruce Campbell,76000,251590,175590
Peter MacDonald,82760,258290,175530
Daniel Benmayor,26560,201860,175300
Rebecca Miller,10640,183840,173200
Sam Levinson,45850,218470,172620
Ali Abbas Zafar,152277,324870,172593
Brad Furman,24640,195610,170970
Rupert Wainwright,221950,392730,170780
George Hickenlooper,6852,177150,170298
Alain Desrochers,16782,186694,169912
Ulu Grosbard,33450,203220,169770
Olaf de Fleur Johannesson,1891,171610,169719
John Maybury,20304,189850,169546
Aisling Walsh,48050,217050,169000
Isao Takahata,374300,543220,168920
Vicente Villanueva,48882,215760,166878
Eugene Kotlyarenko,1717,168460,166743
Atlee,76486,242860,166374
Lev L. Spiro,2196,168030,165834
Ken Kwapis,134360,298570,164210
Ketan Mehta,16820,180418,163598
Alejandro Agresti,740,162778,162038
Kevin Connolly,11663,171850,160187
Hsiao-Hsien Hou,20760,180400,159640
Meghna Gulzar,118673,277510,158837
John Suits,41598,200120,158522
Asger Leth,1271852,1429591,157739
Hannes Holm,12100,169672,157572
Edward Yang,128480,285820,157340
Lawrence Michael Levine,4513,160920,156407
Punit Malhotra,68482,224380,155898
Jacob Chase,27000,182740,155740
Nicholas Meyer,421910,577458,155548
Kim Nguyen,8988,164440,155452
Asif Kapadia,27970,183050,155080
Reed Morano,41880,196940,155060
Fumihiko Sori,56830,211460,154630
Sydney Sibilia,95910,249570,153660
Marshall Herskovitz,44100,196800,152700
Steve Beck,940960,1093620,152660
Forest Whitaker,122390,274470,152080
Takanori Tsujimoto,3458,155430,151972
Ari Sandel,116910,268493,151583
Mamoru Hosoda,31130,181940,150810
Jung Bum-shik,6830,157190,150360
Alejandro Landes,40332,189740,149408
Nicolas Pesce,145120,294110,148990
Ram Kumar,361395,509040,147645
Josh Stolberg,22758,169710,146952
Mélanie Laurent,16410,162780,146370
Sara Colangelo,38530,184500,145970
Carles Torras,1472,147340,145868
Joe Roth,26630,172400,145770
Sophia Takal,46126,191720,145594
Edoardo Ponti,11150,155930,144780
Brian A. Metcalf,17693,161930,144237
Nick Gomez,12020,156070,144050
Joe Mantello,37020,180860,143840
Alfonso Gomez-Rejon,167560,310500,142940
Matteo Garrone,5129,147960,142831
Miguel Arteta,10490,153270,142780
Malcolm Venville,71400,214010,142610
Ben C. Lucas,25860,167600,141740
Darren Paul Fisher,6405,148130,141725
Donald Petrie,33650,175120,141470
Timothy Linh Bui,12580,153380,140800
William Bindley,3530,143440,139910
Ram,26990,166750,139760
Deon Taylor,3796,142830,139034
Scott Coffey,48180,187200,139020
Nicolas Bedos,57840,196700,138860
Rick Jacobson,3120,141660,138540
Eric Till,5740,144194,138454
Robin Campillo,29840,167830,137990
Laura Terruso,19197,157050,137853
Grant Heslov,1240570,1378290,137720
Petra Costa,20600,157470,136870
Billy Ray,377610,514390,136780
Antonio Negret,28592,165310,136718
Reggie Rock Bythewood,5010,141380,136370
Benny Boom,111480,247780,136300
Nicholas Hytner,184660,320720,136060
Jonathan Teplitzky,22700,158090,135390
Ciro Guerra,13130,147670,134540
Ariel Vromen,21550,155440,133890
David Mamet,81990,215360,133370
Darren Doane,1764,134592,132828
Tony McNamara,29390,162210,132820
